good,'G UH D', s, UH
our,'OW R', s, 
bleak,'B L IY K', s, IY
upon,'AH P AA N', s, AA
the,'DH AH', s, 
sea,'S IY', s, IY
shook,'SH UH K', s, UH
as,'AE Z', s, AE
the,'DH AH', s, 
did,'D IH D', s, IH
the,'DH AH', s, 
very,'V EH R IY', s, IY
principals,'P R IH N S AH P AH L Z', s, IH
did,'D IH D', s, IH
seem,'S IY M', s, IY
to,'T UW', s, UW
and,'AH N D', s, 
all,'AA L', s, AA
to,'T UW', s, UW
and,'AH N D', s, 
fear,'F IY R', s, IY
me,'M IY', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
but,'B AH T', s, 
i,'AY', s, AY
marvel,'M AA R V ǝ L', s, AA
that,'DH AE T', s, AE
your,'Y AO R', s, AO
rich,'R IH CH', s, IH
you,'Y UW', s, UW
at,'AE T', s, AE
off,'AO F', s, AO
the,'DH AH', s, 
golden,'G OW L D ǝ N', s, 
slumber,'S L ɤ M B ǝ R', s, 
of,'AH V', s, 
most,'M OW S T', s, 
natre,'N EY CH ER', s, EY
be,'B IY', s, IY
so,'S OW', s, 
with,'W IH DH', s, IH
pain,'P EH N', s, 
being,'B IY IH NG', s, IY IH
not,'N AA T', s, AA
the,'DH AH', s, 
heavens,'HH EH V AH N Z', s, 
you,'Y UW', s, UW
our,'OW R', s, 
wonder,'W ɤ N D ǝ R', s, 
and,'AH N D', s, 
sets,'S EH T S', s, 
up,'AH P', s, 
your,'Y AO R', s, AO
most,'M OW S T', s, 
